"Name","Address","Description","Longitude","Latitude","TimeStamp","TimeSpan:begin","TimeSpan:end","GettyID","","","",
"","Halle/Saale","","12","51.5","","","","1036898","","","",
"","Amsterdam","","4.916667","52.35","","","","7006952","","","",
"","Berlin","","13.4","52.516667","","","","7003712","","","",
"","Brandenburg","","9.166667","52.333333","","","","7201657","","","",
"","Spillern","","16.25","48.3833333","","","","","","","",
"","Eckernförde","","9.833333","54.466667","","","","7012432","","","",
"","Hannover","","9.716667","52.366667","","","","7013260","","","",
"","Marburg","","8.766667","50.816667","","","","7012330","","","",
"","Frankenberg/Eder","","8.8167","51.0667","","","","1039111","","","",
"","Ebsdorfergrund- Wittelsberg","","8.8548379","50.7597457","","","","","","","",
"","Lichtenfels-Goddelsheim","","8.8061608","51.2018766","","","","","","","",
"","Krefeld","","6.566667","51.333333","","","","7005980","","","",
"","Everswinkel","","7.85","51.933333","","","","1039046","","","",
"","Rheine","","7.45","52.283333","","","","7012677","","","",
"","Osnabrück","","8.049444","52.289722","","","","7076839","","","",
"","Leverkusen","","6.983333","51.016667","","","","7012573","","","",
"","Bonn","","7.1","50.733333","","","","7005090","","","",
"","Hüffelsheim","","7.8","49.816667","","","","7163435","","","",
"","TH Bergeijk","","5.340698401743055","51.32605639342842","","","","","","","",
"","Koblenz","","7.25","50.1667","","","","1003182","","","",
"","Iserlohn","","7.7","51.366667","","","","7006088","","","",
"","Oelde","","8.15","51.816667","","","","1040611","","","",
"","Lüdinghausen","","7.4667","51.7667","","","","1003613","","","",
"","Biebergemünd","","8.266667","50.2","","","","7076067","","","",
"","Taunusstein","","8.15","50.15","","","","1041391","","","",
"","Limburg","","8.05","50.383333","","","","7009091","","","",
"","Völklingen-Ludweiler","","6.7883314","49.2097355","","","","","","","",
"","Dillingen / Saar","","6.727811","49.355568","","","","","","","",
"","Wachenheim","","8.177222","49.447222","","","","7089923","","","",
"","Speyer","","8.427778","49.329722","","","","7012341","","","",
"","Lochau","","9.75","47.516","","","","7594745","","","",
"","Stuttgart","","9.183333","48.766667","","","","7004425","","","",
"","Stuttgart - Weilimdorf","","9.1123","48.8143","","","","","","","",
"","Offenburg","","7.933333","48.483333","","","","7012635","","","",
"","Waldkirch","","7.966667","48.1","","","","7012942","","","",
"","Merzhausen","","7.8333333","47.9666667","","","","7131380","","","",
"","München","","11.583333","49.55","","","","7134067","","","",
"","Geretsried","","11.480541229248047","47.85774843656128","","","","8705223","","","",
"","Erdweg","","11.3","48.333333","","","","7188536","","","",
"","Gmund am Tegernsee","","11.733333","47.75","","","","7004695","","","",
"","Dingolfing","","12.5","48.633333","","","","7004410","","","",
"","Heldenstein","","12.366667","48.25","","","","7166102","","","",
"","Neubiberg","","11.683333","48.083333","","","","7124468","","","",
"","Maihingen","","10.5","48.933333","","","","7141951","","","",
"","Biberach","","8.283333","48.616667","","","","7214001","","","",
"","Ulm","","8.016667","48.733333","","","","7066334","","","",
"","Nürnberg","","12.916667","48.366667","","","","7128225","","","",
"","Hersbruck","","11.433889","49.5125","","","","1039573","","","",
"","Bernhardswald","","12.25","49.1","","","","7209259","","","",
"","Bad Griesbach im Rottal","","13.1939","48.4557","","","","","","","",
"","Höchstädt","","12.083333","50.1","","","","7161517","","","",
"","Bayreuth","","11.5833","49.45","","","","7004326","","","",
"","Kemnath","","12.25","49.366667","","","","7156006","","","",
"","Wunsiedel","","12.016667","50.033333","","","","1041888","","","",
"","Coburg","","10.966667","50.25","","","","7004330","","","",
"","Estenfeld","","10.016667","49.833333","","","","7188262","","","",
"","Bad Königshofen","","10.483333","50.3","","","","7143850","","","",
"","Münster","","7.416667","51.833333","","","","7133375","","","",
"","Kiel","","9.166667","54.55","","","","7157776","","","",
"","Starnberg","","11.344156265258789","48.00192589131098","","","","7068429","","","",
"","","","","","","","","","","","",
